<details> <summary> <b>immortalwrt new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
2401702e6e|Tianling Shen|Wed Jan 28 17:16:44 2026 +0800|Merge Official Source
2d8a81ebed|aiamadeus|Wed Jan 28 15:55:47 2026 +0800|uboot-rockchip: align u-boot load address with mainline for rk33xx
b8dc7ac9c6|Linus Walleij|Tue Jan 27 20:52:37 2026 +0100|gemini: select CONFIG_BLK_DEV_LOOP
5cd176925e|Aleksander Jan Bajkowski|Mon Jan 26 23:49:55 2026 +0100|airoha: reduce HWRNG quality
b59a89bde6|Bevan Weiss|Sun Sep 15 18:42:19 2024 +1000|realtek: rtl930x: Add Hasivo s1100wp-8gt-se (excl. PoE)
c63433acd8|FUKAYA Toshikuni|Mon Jan 12 17:51:23 2026 +0900|realtek: add support for XikeStor SKS8300-8T
38fea332d9|Markus Stockhausen|Mon Jan 26 14:34:07 2026 +0100|realtek: phy: replace hard coded pages 30/31 with define
c2a3871387|Markus Stockhausen|Mon Jan 26 14:25:00 2026 +0100|realtek: phy: align page select register naming with upstream
3c024c00ce|Markus Stockhausen|Mon Jan 26 14:11:09 2026 +0100|realtek: phy: cleanup RTL8214C configuration
1d0e2859c5|Youfu Zhang|Tue Jan 27 15:11:15 2026 +0800|wifi-scripts: fix ucode mobility_domain default value
9bdb1b4eb4|Hauke Mehrtens|Mon Jan 26 01:17:54 2026 +0100|mac80211: update to version 6.18.7
</details>
