<details> <summary> <b>luci new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
584852cf13|Tianling Shen|Sat Feb 21 14:43:58 2026 +0800|Merge Official Source
3696d66591|Dirk Brenken|Sat Feb 21 05:40:46 2026 +0100|luci-app-banip: update 1.8.0-3
2a8230dfdd|Dirk Brenken|Fri Feb 20 22:13:39 2026 +0100|luci-app-banip: update 1.8.0-2
4f5639a708|Dirk Brenken|Fri Feb 20 20:25:37 2026 +0100|luci-app-adblock: sync with adblock 4.5.1-3
1abff9a431|Hosted Weblate|Fri Feb 20 18:59:17 2026 +0100|Translated using Weblate (Russian)
9f35b27959|Dirk Brenken|Fri Feb 20 18:09:49 2026 +0100|luci-app-travelmate: update 2.4.0-2
89ab7fd2d6|Paul Donald|Mon Feb 16 02:16:19 2026 +0100|luci-app-usteer: js linting fixes / ES6 treatment
c25c0be66d|Paul Donald|Mon Feb 16 02:15:30 2026 +0100|luci-app-sshtunnel: js linting fixes / ES6 treatment
9e21e74888|Paul Donald|Thu Dec 19 21:34:22 2024 +0000|luci-mod-network: MPTCP
f55831e83a|Paul Donald|Fri Feb 20 02:28:43 2026 +0100|luci-base: cbi improvements and loop var fix
a8db14e2cf|Paul Donald|Fri Feb 20 00:56:43 2026 +0100|luci-base: handleSort and UITable.update fix
39ce4bbc94|Paul Donald|Fri Feb 20 00:47:36 2026 +0100|luci-base: filter header row CSS styling
7f2614caec|Paul Donald|Thu Feb 19 05:11:37 2026 +0100|luci-base: firewall fixes
</details>
