<details> <summary> <b>luci new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
3724867919|Guilherme Cardoso|Sun Jan 4 12:32:33 2026 +0000|luci-app-rustdesk-server: add new application
d074b87514|Eric Fahlgren|Wed Jan 21 13:56:51 2026 -0800|luci-theme-openwrt-2020: add missing selector
9fe1334fd5|Paul Donald|Wed Jan 21 22:39:04 2026 +0100|luci-theme: fix theme header title
d43fee9733|Eric Fahlgren|Wed Jan 21 10:34:18 2026 -0800|luci-mod-status: improve hide/show button placement and size
b3d44ab16d|Stan Grishin|Wed Jan 21 10:32:18 2026 -0800|Merge pull request #8231 from stangri/master-luci-app-https-dns-proxy
b8f04dce71|Stan Grishin|Wed Jan 21 10:31:35 2026 -0800|Merge pull request #8239 from stangri/master-luci-app-advanced-reboot
768016132e|Hosted Weblate|Wed Jan 21 06:35:33 2026 +0100|Translated using Weblate (Korean)
6b271164d8|Stan Grishin|Wed Jan 21 03:31:28 2026 +0000|luci-app-advanced-reboot: bugfix: actual partition switch
721ec94145|Stan Grishin|Mon Jan 19 23:54:50 2026 +0000|luci-app-https-dns-proxy: update to 2025.12.29-3
</details>
