<details> <summary> <b>openwrt new commit log :rocket: </b> </summary>

SHA|Author|Date|Message
-|-|-|-
f9320e8d2d|Rui Salvaterra|Tue Feb 10 11:28:56 2026 +0000|iproute2: add cake_mq support
105eb9ca95|Rui Salvaterra|Wed Jan 21 17:27:10 2026 +0000|kernel: add cake-mq support
c62bab29d5|Zhi-Jun You|Fri Feb 6 19:25:30 2026 +0800|mediatek: filogic: add 6G precal to Acer Vero W6m
eb369b267d|Zhi-Jun You|Fri Feb 6 19:20:32 2026 +0800|mediatek: filogic: add 6G precal to Acer Predator W6
3f430451b1|Zhi-Jun You|Fri Feb 6 19:06:33 2026 +0800|mediatek: filogic: add precal to W6 common dtsi
2d0f81f521|Paul Spooren|Sun Feb 8 20:14:43 2026 +0100|scripts: update malta kernel path in qemustart
8dfa38b82c|Paul Spooren|Sun Feb 8 19:50:34 2026 +0100|malta: convert to Device macro image building
316492b809|Qingfang Deng|Fri Feb 6 17:38:50 2026 +0800|kernel: backport pppoe improvements
7aa1f7e814|Mario Andrés Pérez|Thu Feb 5 01:19:08 2026 +0100|mediatek: filogic: gl-mt2500 fix compatibles PHY variants
64ec08eee1|Matt Merhar|Mon Feb 9 18:20:39 2026 -0500|apk: backport upstream fixes for unaligned access
3b450b23fe|Edward Chow|Mon Feb 9 10:54:35 2026 +0800|Revert "apm821xx: rename pciex to pcie"
</details>
